Time: 2107, BMP Temp: 32.14, BMP Pressure: 1006.57, BMP Altitude: 55.78, IMU Accel X: -0.08, IMU Accel Y: -10.01, IMU Accel Z: -0.20, Gyro X: -0.01, Gyro Y: -0.01, Gyro Z: 0.00, Accel X: 2.40, Accel Y: 13.45, Accel Z: -3.84
Time: 2136, BMP Temp: 32.14, BMP Pressure: 1006.58, BMP Altitude: 55.72, IMU Accel X: -0.05, IMU Accel Y: -10.00, IMU Accel Z: -0.23, Gyro X: -0.01, Gyro Y: -0.01, Gyro Z: -0.00, Accel X: 2.40, Accel Y: 13.45, Accel Z: -4.32
Time: 2165, BMP Temp: 32.14, BMP Pressure: 1006.58, BMP Altitude: 55.71, IMU Accel X: -0.09, IMU Accel Y: -10.01, IMU Accel Z: -0.21, Gyro X: -0.00, Gyro Y: -0.01, Gyro Z: 0.00, Accel X: 1.92, Accel Y: 13.94, Accel Z: -4.32
Time: 2194, BMP Temp: 32.14, BMP Pressure: 1006.57, BMP Altitude: 55.75, IMU Accel X: -0.02, IMU Accel Y: -10.04, IMU Accel Z: -0.28, Gyro X: -0.00, Gyro Y: -0.01, Gyro Z: 0.00, Accel X: 1.92, Accel Y: 13.45, Accel Z: -3.84
Time: 2224, BMP Temp: 32.14, BMP Pressure: 1006.57, BMP Altitude: 55.77, IMU Accel X: 0.00, IMU Accel Y: -10.05, IMU Accel Z: -0.23, Gyro X: -0.00, Gyro Y: -0.01, Gyro Z: 0.01, Accel X: 1.92, Accel Y: 13.94, Accel Z: -4.32
Time: 2253, BMP Temp: 32.14, BMP Pressure: 1006.57, BMP Altitude: 55.73, IMU Accel X: -0.06, IMU Accel Y: -10.05, IMU Accel Z: -0.18, Gyro X: -0.01, Gyro Y: -0.01, Gyro Z: -0.00, Accel X: 1.44, Accel Y: 13.45, Accel Z: -4.32
Time: 2282, BMP Temp: 32.14, BMP Pressure: 1006.57, BMP Altitude: 55.73, IMU Accel X: 0.00, IMU Accel Y: -10.01, IMU Accel Z: -0.21, Gyro X: -0.01, Gyro Y: -0.01, Gyro Z: 0.00, Accel X: 1.92, Accel Y: 13.45, Accel Z: -3.84
Time: 2311, BMP Temp: 32.15, BMP Pressure: 1006.57, BMP Altitude: 55.76, IMU Accel X: -0.03, IMU Accel Y: -9.97, IMU Accel Z: -0.24, Gyro X: -0.00, Gyro Y: -0.00, Gyro Z: 0.01, Accel X: 1.92, Accel Y: 12.97, Accel Z: -3.84
Time: 2340, BMP Temp: 32.15, BMP Pressure: 1006.57, BMP Altitude: 55.77, IMU Accel X: -0.06, IMU Accel Y: -10.02, IMU Accel Z: -0.21, Gyro X: -0.01, Gyro Y: -0.01, Gyro Z: 0.00, Accel X: 2.40, Accel Y: 13.45, Accel Z: -3.36
Time: 2369, BMP Temp: 32.15, BMP Pressure: 1006.57, BMP Altitude: 55.73, IMU Accel X: -0.03, IMU Accel Y: -10.00, IMU Accel Z: -0.18, Gyro X: -0.00, Gyro Y: -0.01, Gyro Z: 0.00, Accel X: 1.44, Accel Y: 13.45, Accel Z: -4.32
